star,1,2,3,4,5,6,7,8,9,10
1,"('good', 661)","('other', 543)","('bad', 433)","('first', 337)","('new', 319)","('last', 310)","('horrible', 257)","('few', 249)","('same', 246)","('next', 244)"
2,"('good', 789)","('other', 396)","('great', 289)","('bad', 236)","('nice', 215)","('first', 214)","('much', 202)","('little', 193)","('few', 181)","('small', 175)"
3,"('good', 1552)","('other', 570)","('great', 493)","('nice', 430)","('little', 384)","('small', 285)","('bad', 267)","('few', 250)","('decent', 237)","('hot', 200)"
4,"('good', 2711)","('great', 1572)","('nice', 793)","('other', 782)","('little', 693)","('delicious', 616)","('fresh', 465)","('friendly', 462)","('small', 427)","('first', 392)"
5,"('great', 2761)","('good', 2099)","('friendly', 974)","('delicious', 913)","('nice', 849)","('other', 800)","('amazing', 645)","('fresh', 643)","('first', 622)","('new', 607)"
